Username,First Name,Last Name,Role,User ID
yongmcmahon@testrunschool.org,Yong,McMahon,Teacher,870617
arthurfry@testrunschool.org,Arthur,Fry,Student,24039
reubenkaufman@testrunschool.org,Reuben,Kaufmann,Student,335363
josebass@testrunschool.org,Jose,Bass,Student,12946
faustorush@testrunschool.org,Fausto,Rush,Student,240214
reedball@testrunschool.org,Reed,Ball,Student,209674
emmettdavidson@testrunschool.org,Emmett,Davidson,Student,896679
lorenegutierrez@testrunschool.org,Lorene,Gutierrez,Student,415610
evelynsoto@testrunschool.org,Evelyn,Soto,Student,249146
jeraldsexton@testrunschool.org,Jerald,Sexton,Student,960583
linaclark@testrunschool.org,Lina,Clark,Student,58955
orastephens@testrunschool.org,Ora,Stephens,Student,374422
